ts,switch_dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
Sat Oct 11 19:53:37 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,11,539000000
Sat Oct 11 19:53:38 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,12,537000000
Sat Oct 11 19:53:38 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,12,541000000
Sat Oct 11 19:53:38 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,12,541000000
Sat Oct 11 19:53:38 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,12,536000000
Sat Oct 11 19:53:38 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,12,540000000
Sat Oct 11 19:53:38 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,12,540000000
Sat Oct 11 19:53:39 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,13,539000000
Sat Oct 11 19:53:39 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,13,543000000
Sat Oct 11 19:53:39 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,13,543000000
Sat Oct 11 19:53:39 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,13,537000000
Sat Oct 11 19:53:39 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,13,541000000
Sat Oct 11 19:53:39 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,13,541000000
Sat Oct 11 19:53:40 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,14,549000000
Sat Oct 11 19:53:40 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,14,553000000
Sat Oct 11 19:53:40 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,14,553000000
Sat Oct 11 19:53:40 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,14,548000000
Sat Oct 11 19:53:40 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,14,552000000
Sat Oct 11 19:53:40 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,14,552000000
Sat Oct 11 19:53:41 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,15,546000000
Sat Oct 11 19:53:41 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,15,551000000
Sat Oct 11 19:53:41 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,15,551000000
Sat Oct 11 19:53:41 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,15,547000000
Sat Oct 11 19:53:41 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,15,551000000
Sat Oct 11 19:53:41 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,15,551000000
Sat Oct 11 19:53:42 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,16,546000000
Sat Oct 11 19:53:42 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,16,550000000
Sat Oct 11 19:53:42 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,16,551000000
Sat Oct 11 19:53:42 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,16,544000000
Sat Oct 11 19:53:42 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,16,548000000
Sat Oct 11 19:53:42 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,16,548000000
Sat Oct 11 19:53:43 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,17,560000000
Sat Oct 11 19:53:43 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,17,564000000
Sat Oct 11 19:53:43 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,17,564000000
Sat Oct 11 19:53:43 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,17,557000000
Sat Oct 11 19:53:43 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,17,561000000
Sat Oct 11 19:53:43 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,17,561000000
Sat Oct 11 19:53:44 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,18,570000000
Sat Oct 11 19:53:44 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,18,574000000
Sat Oct 11 19:53:44 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,18,574000000
Sat Oct 11 19:53:44 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,18,566000000
Sat Oct 11 19:53:44 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,18,570000000
