timestamp,flow_packet_count_sum,flow_packet_count_mean,flow_packet_count_std,flow_byte_count_sum,flow_byte_count_mean,flow_byte_count_std,flow_duration_sec_mean,flow_duration_sec_std,port_rx_packets_sum,port_rx_packets_mean,port_rx_packets_std,port_tx_packets_sum,port_tx_packets_mean,port_tx_packets_std,port_rx_bytes_sum,port_rx_bytes_mean,port_rx_bytes_std,port_tx_bytes_sum,port_tx_bytes_mean,port_tx_bytes_std,port_rx_dropped_sum,port_rx_dropped_mean,port_rx_dropped_std,port_tx_errors_sum,port_tx_errors_mean,port_tx_errors_std,table_active_count_sum,table_active_count_mean,table_active_count_std,table_lookup_count_sum,table_lookup_count_mean,table_lookup_count_std,table_matched_count_sum,table_matched_count_mean,table_matched_count_std,no_of_tcp_flows,no_of_udp_flows,no_of_icmp_flows,no_of_other_flows,no_of_total_flows,no_of_unique_src_addresses,no_of_unique_dst_addresses,no_of_unique_src_ports,no_of_unique_dst_ports,tcp_to_udp_ratio,flow_packets_per_flow,unique_src_to_dst_address_ratio,unique_src_to_dst_port_ratio,flow_packet_count_10s_mean,flow_byte_count_10s_mean,port_rx_packets_10s_mean,port_tx_packets_10s_mean,total_flows_10s,attack,port_tx_dropped_sum,port_rx_errors_sum,flow_packet_count_sum_diff,flow_byte_count_sum_diff,port_rx_packets_sum_diff,port_tx_packets_sum_diff,port_rx_bytes_sum_diff,port_tx_bytes_sum_diff,no_of_total_flows_diff,no_of_tcp_flows_diff,no_of_udp_flows_diff,no_of_icmp_flows_diff,no_of_other_flows_diff,no_of_unique_src_addresses_diff
2025-10-14 19:26:02,306,0.3180873180873181,0.5107229788741995,16524,17.176715176715177,27.579040859206767,2.4365904365904365,0.593611511923806,94568,31522.666666666668,37956.402968844835,84208,28069.333333333332,34010.136743819974,40784610,13594870.0,22163001.71754891,37566717,12522239.0,20433698.61590904,249,83.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,962,0,0,0,962,1,1,953,2,962.0,0.3177570093457944,0.5,317.6666666666667,67.44824569481536,6111.477944562114,30991.666666666668,27431.11111111111,21718,1,0.0,0.0,-270343.0,-24348810.0,-93520.0,-83045.0,-40728054.0,-37503963.0,-1818.0,-1814.0,0.0,0.0,-4.0,0.0
2025-10-14 19:26:03,136730,97.31672597864768,2560.266446923608,12258528,8724.930960854093,230188.43065584195,2.9544483985765124,28.11017047720425,95082,31694.0,38059.79746399079,84712,28237.333333333332,34188.27151719334,40812342,13604114.0,22167026.775652796,37593909,12531303.0,20442716.26527715,251,83.66666666666667,0.0,0,0.0,0.0,1886,943.0,1332.1891757554556,145593,72796.5,7525.7374721684255,145593,72796.5,7525.7374721684255,1403,0,0,2,1405,1,1,1386,2,1403.0,97.2475106685633,0.5,462.0,71.95403367926376,6510.7099079694535,31087.0,27557.666666666668,20428,1,0.0,0.0,136424.0,12242004.0,514.0,504.0,27732.0,27192.0,443.0,441.0,0.0,0.0,2.0,0.0
2025-10-14 19:26:04,139094,36.212965373600625,1558.8544999549413,12386136,3224.7164800833116,139792.41059219983,2.6743035667794843,17.043873790667373,95124,31708.0,38068.542183803154,84851,28283.666666666668,34183.83434217603,40814610,13604870.0,22167374.75585316,37601415,12533805.0,20441693.084908575,251,83.66666666666667,0.0,0,0.0,0.0,2398,1199.0,1694.227847722968,146527,73263.5,7568.163879039618,146527,73263.5,7568.163879039618,3839,0,0,2,3841,2,2,1888,190,3839.0,36.203539823008846,0.6666666666666666,9.884816753926701,68.98093992338596,6230.209847706251,31169.38888888889,27666.166666666668,21406,1,0.0,0.0,2364.0,127608.0,42.0,139.0,2268.0,7506.0,2436.0,2436.0,0.0,0.0,0.0,1.0
2025-10-14 19:26:05,275174,162.24882075471697,3317.328256719625,24609516,14510.327830188678,297407.8406269646,4.2629716981132075,36.22280051381319,95163,31721.0,38077.010163614475,84890,28296.666666666668,34192.25107145379,40816716,13605572.0,22167720.762837842,37603521,12534507.0,20442038.793020207,251,83.66666666666667,0.0,0,0.0,0.0,3620,905.0,1085.1116686006715,293304,73326.0,6199.031375948988,293304,73326.0,6199.031375948988,1692,0,0,4,1696,2,2,1154,290,1692.0,162.15321154979375,0.6666666666666666,3.9656357388316152,80.5156382079459,7256.797573467256,31248.13888888889,27759.694444444445,20111,1,0.0,0.0,136080.0,12223380.0,39.0,39.0,2106.0,2106.0,-2145.0,-2147.0,0.0,0.0,2.0,0.0
2025-10-14 19:26:06,137917,137.917,3056.5983055207485,12322578,12322.578,274011.3881763608,4.79,33.39210884225393,95212,31737.333333333332,38088.25500509748,84937,28312.333333333332,34203.02218128295,40819362,13606454.0,22168195.380953047,37606059,12535353.0,20442496.495406058,251,83.66666666666667,0.0,0,0.0,0.0,1000,500.0,705.6925676241744,146734,73367.0,7631.096382565221,146734,73367.0,7631.096382565221,998,0,0,2,1000,2,2,704,297,998.0,137.7792207792208,0.6666666666666666,2.3624161073825505,88.97940741552111,8008.882085546854,31325.472222222223,27842.63888888889,18259,1,0.0,0.0,-137257.0,-12286938.0,49.0,47.0,2646.0,2538.0,-696.0,-694.0,0.0,0.0,-2.0,0.0
2025-10-14 19:26:08,138591,173.45556946182728,3440.884962262572,12358974,15468.052565707134,307684.09369988897,5.315394242803505,37.40881178025497,95697,31899.0,38301.09686418915,85040,28346.666666666668,34254.66732188963,40845552,13615184.0,22179601.1076167,37611621,12537207.0,20445339.55794188,251,83.66666666666667,0.0,0,0.0,0.0,799,399.5,563.5641046056784,147627,73813.5,7644.5314114077655,147627,73813.5,7644.5314114077655,797,0,0,2,799,2,2,500,301,797.0,173.23875,0.6666666666666666,1.6556291390728477,100.39917725703371,9002.770586938956,31535.366666666665,28024.266666666666,13613,0,0.0,0.0,674.0,36396.0,485.0,103.0,26190.0,5562.0,-201.0,-201.0,0.0,0.0,0.0,0.0
2025-10-14 19:26:09,139103,158.43166287015944,3299.7144687294185,12386598,14107.742596810935,294454.62147858297,2.9236902050113893,35.86589565592253,96040,32013.333333333332,38266.6108942683,85572,28524.0,34399.67342868243,40864062,13621354.0,22175427.97964711,37640349,12546783.0,20452032.18480313,251,83.66666666666667,0.0,0,0.0,0.0,878,439.0,619.4255403194156,148355,74177.5,7654.430906344377,148355,74177.5,7654.430906344377,876,0,0,2,878,2,2,470,408,876.0,158.2514220705347,0.6666666666666666,1.1491442542787287,103.9153267545373,9312.077427368711,31578.81818181818,28069.696969696968,14491,0,0.0,0.0,512.0,27624.0,343.0,532.0,18510.0,28728.0,79.0,79.0,0.0,0.0,0.0,0.0
2025-10-14 19:26:10,142002,109.56944444444444,2767.615146621176,12543120,9678.333333333334,245168.98902790868,2.361111111111111,29.559585788185732,97402,32467.333333333332,38778.940629332996,86104,28701.333333333332,34571.921299420625,40937598,13645866.0,22201816.570480805,37669053,12556351.0,20460516.738271322,251,83.66666666666667,0.0,0,0.0,0.0,1297,648.5,915.703281636579,151018,75509.0,7693.321779309637,151018,75509.0,7693.321779309637,1293,0,0,3,1296,2,2,854,439,1293.0,109.48496530454896,0.6666666666666666,1.940909090909091,94.12335402879171,8408.767687794229,31745.866666666665,28252.233333333334,14657,0,0.0,0.0,2899.0,156522.0,1362.0,532.0,73536.0,28704.0,418.0,417.0,0.0,0.0,1.0,0.0
2025-10-14 19:26:12,145205,66.66896235078053,2180.2390055715546,12716070,5838.415977961433,191580.11986755865,1.8108356290174472,22.854998822781038,98930,32976.666666666664,39291.72437464832,86921,28973.666666666668,34796.90779844286,41020098,13673366.0,22227301.73663704,37713159,12571053.0,20470926.910442453,251,83.66666666666667,0.0,0,0.0,0.0,2179,1089.5,1539.371462643114,153991,76995.5,7703.9283810274355,153991,76995.5,7703.9283810274355,2175,0,0,3,2178,2,2,1413,758,2175.0,66.63836622303809,0.6666666666666666,1.8616600790513833,95.76231574123578,8522.227144275566,32027.083333333332,28459.458333333332,13093,0,0.0,0.0,3203.0,172950.0,1528.0,817.0,82500.0,44106.0,882.0,882.0,0.0,0.0,0.0,0.0
2025-10-14 19:26:13,147143,35.47324011571842,1591.7622475785793,12820698,3090.814368370299,139471.81244640745,2.2254098360655736,16.61038981686356,198997,33166.166666666664,35376.08512776204,176589,29431.5,31540.40199965752,82101558,13683593.0,19893299.32115856,75574656,12595776.0,18330547.76384554,502,83.66666666666667,0.0,0,0.0,0.0,3186,1593.0,2251.4279912979673,155072,77536.0,7711.706555620487,155072,77536.0,7711.706555620487,4145,0,0,3,4148,2,2,2033,1135,4145.0,35.4646902868161,0.6666666666666666,1.789612676056338,79.8325966153069,7081.5666835059355,32317.222222222223,28700.14814814815,15836,0,0.0,0.0,1938.0,104628.0,100067.0,89668.0,41081460.0,37861497.0,1970.0,1970.0,0.0,0.0,0.0,0.0
