timestamp,no_of_tcp_flows,no_of_udp_flows,no_of_icmp_flows,no_of_other_flows,total_flows,no_of_unique_src_addresses,no_of_unique_dst_addresses,no_of_unique_src_ports,no_of_unique_dst_ports,flow_packet_count_sum,flow_packet_count_mean,flow_packet_count_std,flow_byte_count_sum,flow_byte_count_mean,flow_byte_count_std,flow_duration_sec_mean,flow_duration_sec_std,port_rx_packets_sum,port_rx_packets_mean,port_rx_packets_std,port_tx_packets_sum,port_tx_packets_mean,port_tx_packets_std,port_rx_bytes_sum,port_rx_bytes_mean,port_tx_bytes_sum,port_tx_bytes_mean,port_rx_dropped_sum,port_tx_dropped_sum,port_rx_errors_sum,port_tx_errors_sum,table_active_count_sum,table_lookup_count_sum,table_matched_count_sum,table_active_count_mean,table_lookup_count_mean,table_matched_count_mean,flow_packet_count_10s_mean,flow_byte_count_10s_mean,port_rx_packets_10s_mean,port_tx_packets_10s_mean,total_flows_10s,attack,port_rx_bytes_std,port_tx_bytes_std,flow_packet_count_sum_diff,flow_byte_count_sum_diff,port_rx_packets_sum_diff,port_tx_packets_sum_diff,port_rx_bytes_sum_diff,port_tx_bytes_sum_diff,total_flows_diff,no_of_unique_src_addresses_diff
2025-10-12 14:22:27,0,0,4,5,9,2,2,0,0,615699,68411.0,109977.86051405982,36631560,4070173.3333333335,6280653.498926823,897.0,1059.679432658764,560966,93494.33333333333,153052.7536226208,339784,56630.666666666664,82031.23034470876,390080682,65013447.0,370804164,61800694.0,186,0,0,0,9,607120,607120,2.25,151780.0,151780.0,34589.66292134832,2057899.3258426967,93492.0,56628.333333333336,178,0,0.0,0.0,-1.0,182.0,4.0,4.0,392.0,392.0,-3.0,0.0
2025-10-12 14:22:28,0,0,4,4,8,2,2,0,0,615702,76962.75,114327.53927047874,36631910,4578988.75,6512982.224779121,1009.5,1074.924714971771,560970,93495.0,153052.99796867752,339788,56631.333333333336,82031.50648785298,390081074,65013512.333333336,370804556,61800759.333333336,186,0,0,0,8,607120,607120,2.0,151780.0,151780.0,44615.442028985504,2654390.7391304346,93492.43333333333,56628.76666666667,138,0,0.0,0.0,3.0,350.0,4.0,4.0,392.0,392.0,-1.0,0.0
2025-10-12 14:22:29,0,0,4,4,8,2,2,0,0,615706,76963.25,114327.1546231003,36632302,4579037.75,6512942.85796926,1010.5,1074.924714971771,560974,93495.66666666667,153053.2423160864,339792,56632.0,82031.7826333184,390081466,65013577.666666664,370804948,61800824.666666664,186,0,0,0,8,607120,607120,2.0,151780.0,151780.0,52177.35593220339,3104299.627118644,93492.93333333333,56629.26666666667,118,0,0.0,0.0,4.0,392.0,4.0,4.0,392.0,392.0,0.0,0.0
2025-10-12 14:22:30,0,0,4,4,8,2,2,0,0,615710,76963.75,114326.76997692685,36632694,4579086.75,6512903.491342766,1011.5,1074.924714971771,560978,93496.33333333333,153053.48666484753,339796,56632.666666666664,82032.058781105,390081858,65013643.0,370805340,61800890.0,186,0,0,0,8,607120,607120,2.0,151780.0,151780.0,59776.203883495145,3556407.9029126214,93493.46666666666,56629.8,103,0,0.0,0.0,4.0,392.0,4.0,4.0,392.0,392.0,0.0,0.0
2025-10-12 14:22:31,0,0,4,4,8,2,2,0,0,615714,76964.25,114326.38533195839,36633086,4579135.75,6512864.124899643,1012.5,1074.924714971771,560982,93497.0,153053.73101496088,339800,56633.333333333336,82032.33493121274,390082250,65013708.333333336,370805732,61800955.333333336,186,0,0,0,8,607120,607120,2.0,151780.0,151780.0,60960.267326732675,3626869.089108911,93494.06666666667,56630.4,101,0,0.0,0.0,4.0,392.0,4.0,4.0,392.0,392.0,0.0,0.0
2025-10-12 14:22:32,0,0,4,4,8,2,2,0,0,615714,76964.25,114326.38533195839,36633086,4579135.75,6512864.124899643,1013.5,1074.924714971771,560982,93497.0,153053.73101496088,339800,56633.333333333336,82032.33493121274,390082250,65013708.333333336,370805732,61800955.333333336,186,0,0,0,8,607120,607120,2.0,151780.0,151780.0,63474.40206185567,3776466.288659794,93494.6,56630.933333333334,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 14:22:33,0,2,4,4,10,2,2,1,1,615720,61572.0,105920.17037792609,36633338,3663333.8,6059635.11117641,811.6,1040.0308969769442,560985,93497.5,153054.08533293058,339802,56633.666666666664,82032.8507773969,390082404,65013734.0,370805816,61800969.333333336,186,0,0,0,10,607124,607124,2.5,151781.0,151781.0,63474.79381443299,3776505.587628866,93495.18333333333,56631.5,97,0,0.0,0.0,6.0,252.0,3.0,2.0,154.0,84.0,2.0,0.0
2025-10-12 14:22:34,0,4,4,4,12,2,2,2,1,615728,51310.666666666664,98760.80908514021,36633730,3052810.8333333335,5663599.672775174,677.1666666666666,992.4950041855795,560989,93498.16666666667,153054.32968513717,339806,56634.333333333336,82033.12692971459,390082628,65013771.333333336,370806040,61801006.666666664,186,0,0,0,12,607128,607128,3.0,151782.0,151782.0,64811.46315789474,3856042.8421052634,93495.76666666666,56632.066666666666,95,0,0.0,0.0,8.0,392.0,4.0,4.0,224.0,224.0,2.0,0.0
2025-10-12 14:22:35,0,4,4,4,12,2,2,2,1,615730,51310.833333333336,98760.71463973675,36633870,3052822.5,5663592.814462172,678.1666666666666,992.4950041855795,560990,93498.33333333333,153054.21971924417,339808,56634.666666666664,82032.88723839157,390082698,65013783.0,370806180,61801030.0,186,0,0,0,12,607128,607128,3.0,151782.0,151782.0,64811.82105263158,3856073.2,93496.3,56632.6,95,0,0.0,0.0,2.0,140.0,1.0,2.0,70.0,140.0,0.0,0.0
2025-10-12 14:22:36,0,6,2,4,12,2,2,3,1,615722,51310.166666666664,98761.65919004042,36632694,3052724.5,5663675.126833131,677.1666666666666,993.9715409620259,560994,93499.0,153054.46407341407,339812,56635.333333333336,82033.1633954626,390082922,65013820.333333336,370806404,61801067.333333336,186,0,0,0,12,607132,607132,3.0,151783.0,151783.0,64812.05263157895,3856087.052631579,93496.83333333333,56633.13333333333,95,0,0.0,0.0,-8.0,-1176.0,4.0,4.0,224.0,224.0,0.0,0.0
