timestamp,flow_packet_count_sum,flow_packet_count_mean,flow_packet_count_std,flow_byte_count_sum,flow_byte_count_mean,flow_byte_count_std,flow_duration_sec_mean,flow_duration_sec_std,port_rx_packets_sum,port_rx_packets_mean,port_rx_packets_std,port_tx_packets_sum,port_tx_packets_mean,port_tx_packets_std,port_rx_bytes_sum,port_rx_bytes_mean,port_rx_bytes_std,port_tx_bytes_sum,port_tx_bytes_mean,port_tx_bytes_std,port_rx_dropped_sum,port_rx_dropped_mean,port_rx_dropped_std,port_tx_errors_sum,port_tx_errors_mean,port_tx_errors_std,table_active_count_sum,table_active_count_mean,table_active_count_std,table_lookup_count_sum,table_lookup_count_mean,table_lookup_count_std,table_matched_count_sum,table_matched_count_mean,table_matched_count_std,no_of_tcp_flows,no_of_udp_flows,no_of_icmp_flows,no_of_other_flows,no_of_total_flows,no_of_unique_src_addresses,no_of_unique_dst_addresses,no_of_unique_src_ports,no_of_unique_dst_ports,tcp_to_udp_ratio,flow_packets_per_flow,unique_src_to_dst_address_ratio,unique_src_to_dst_port_ratio,flow_packet_count_10s_mean,flow_byte_count_10s_mean,port_rx_packets_10s_mean,port_tx_packets_10s_mean,total_flows_10s,attack,port_tx_dropped_sum,port_rx_errors_sum,flow_packet_count_sum_diff,flow_byte_count_sum_diff,port_rx_packets_sum_diff,port_tx_packets_sum_diff,port_rx_bytes_sum_diff,port_tx_bytes_sum_diff,no_of_total_flows_diff,no_of_tcp_flows_diff,no_of_udp_flows_diff,no_of_icmp_flows_diff,no_of_other_flows_diff,no_of_unique_src_addresses_diff
2025-10-16 19:13:44,173135,57711.666666666664,49372.68562002004,14855208,4951736.0,3370418.451057969,289.6666666666667,243.06446332883246,92363,30787.666666666668,43581.33220007545,86963,28987.666666666668,40927.035885015335,13167504,4389168.0,6964691.848565305,11245893,3748631.0,5883962.894476052,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,175468,87734.0,3003.789606480454,175468,87734.0,3003.789606480454,0,1,0,2,3,1,1,1,1,0.0,43283.75,0.5,0.5,57593.46666666667,4772829.066666666,30664.433333333334,28866.2,30,0,0.0,0.0,83.0,125496.0,81.0,81.0,122472.0,122472.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:13:45,173220,57740.0,49323.610847138916,14983728,4994576.0,3296217.3944617184,290.3333333333333,243.64181359802208,92445,30815.0,43628.24634339547,87040,29013.333333333332,40971.077326979495,13291488,4430496.0,7036171.866267054,11362317,3787439.0,5951057.326051145,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,175468,87734.0,3003.789606480454,175468,87734.0,3003.789606480454,0,1,0,2,3,1,1,1,1,0.0,43305.0,0.5,0.5,57619.6,4812531.2,30691.766666666666,28892.9,30,0,0.0,0.0,85.0,128520.0,82.0,77.0,123984.0,116424.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:13:46,173259,43314.75,49541.53968388548,15042696,3760674.0,3659273.8297252366,218.5,246.5623653358314,92448,30816.0,43629.17162862481,87047,29015.666666666668,40974.29126090326,13296024,4432008.0,7037519.6535461275,11372901,3790967.0,5955895.357721037,418,139.33333333333334,0.0,0,0.0,0.0,4,2.0,1.4142135623730951,175470,87735.0,3003.789606480454,175470,87735.0,3003.789606480454,0,2,0,2,4,2,2,2,2,0.0,34651.8,0.6666666666666666,0.6666666666666666,55786.032258064515,4695283.354838709,30716.5,28917.4,31,0,0.0,0.0,39.0,58968.0,3.0,7.0,4536.0,10584.0,1.0,0.0,1.0,0.0,0.0,1.0
2025-10-16 19:13:47,173595,34719.0,47014.67298620719,15550728,3110145.6,3489697.7239659023,175.8,234.8376034624779,92933,30977.666666666668,43906.67011210635,87507,29169.0,41237.414455807,14029344,4676448.0,7460335.8069277285,12068421,4022807.0,6356771.606754721,418,139.33333333333334,0.0,0,0.0,0.0,5,2.5,2.1213203435596424,175801,87900.5,3235.013523928455,175801,87900.5,3235.013523928455,0,3,0,2,5,2,2,3,2,0.0,28932.5,0.6666666666666666,1.0,52435.30303030303,4456447.2727272725,30754.666666666668,28954.4,33,0,0.0,0.0,336.0,508032.0,485.0,460.0,733320.0,695520.0,1.0,0.0,1.0,0.0,0.0,0.0
2025-10-16 19:13:48,173133,57711.0,49379.036472981126,14852184,4950728.0,3380020.940735131,289.6666666666667,249.99266655910796,93193,31064.333333333332,44055.44529718583,87759,29253.0,41381.57352010675,14422464,4807488.0,7687025.805798234,12449445,4149815.0,6576417.375834581,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,176162,88081.0,3490.2790719367986,176162,88081.0,3490.2790719367986,0,1,0,2,3,1,1,1,1,0.0,43283.25,0.5,0.5,52449.030303030304,4477202.909090909,30798.7,28997.033333333333,33,0,0.0,0.0,-462.0,-698544.0,260.0,252.0,393120.0,381024.0,-2.0,0.0,-2.0,0.0,0.0,-1.0
2025-10-16 19:13:49,173436,57812.0,49204.099341416666,15310320,5103440.0,3115515.9978096727,290.6666666666667,249.99266655910796,93486,31162.0,44223.11430688707,88047,29349.0,41546.338117817315,14865480,4955160.0,7942507.022369197,12884901,4294967.0,6827467.80469326,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,176162,88081.0,3490.2790719367986,176162,88081.0,3490.2790719367986,0,1,0,2,3,1,1,1,1,0.0,43359.0,0.5,0.5,52469.42424242424,4508038.545454546,30849.766666666666,29046.566666666666,33,0,0.0,0.0,303.0,458136.0,293.0,288.0,443016.0,435456.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:13:50,174021,58007.0,48866.34943394073,16194840,5398280.0,2604838.1377060646,291.6666666666667,249.99266655910796,94080,31360.0,44563.06498660073,88629,29543.0,41879.33639636617,15763608,5254536.0,8460499.60472406,13764885,4588295.0,7334874.197016538,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,176162,88081.0,3490.2790719367986,176162,88081.0,3490.2790719367986,0,1,0,2,3,1,1,1,1,0.0,43505.25,0.5,0.5,52506.333333333336,4563845.090909091,30917.866666666665,29112.733333333334,33,0,0.0,0.0,585.0,884520.0,594.0,582.0,898128.0,879984.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:13:51,174830,58276.666666666664,48399.27306616632,17418048,5806016.0,1898618.669631161,292.6666666666667,249.99266655910796,94889,31629.666666666668,45026.13485891647,89418,29806.0,42330.848408695994,16986816,5662272.0,9166079.64228459,14957853,4985951.0,8022881.768257774,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,176162,88081.0,3490.2790719367986,176162,88081.0,3490.2790719367986,0,1,0,2,3,1,1,1,1,0.0,43707.5,0.5,0.5,52565.15151515151,4652778.181818182,31010.2,29202.5,33,0,0.0,0.0,809.0,1223208.0,809.0,789.0,1223208.0,1192968.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:13:52,175602,58534.0,47953.55865835194,18585312,6195104.0,1224698.4850158019,293.6666666666667,249.99266655910796,95667,31889.0,45471.53770217145,90177,30059.0,42765.27307290344,18163152,6054384.0,9844709.116083015,16105461,5368487.0,8684841.978060568,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,176162,88081.0,3490.2790719367986,176162,88081.0,3490.2790719367986,0,1,0,2,3,1,1,1,1,0.0,43900.5,0.5,0.5,52644.93939393939,4773417.454545454,31126.2,29315.633333333335,33,0,0.0,0.0,772.0,1167264.0,778.0,759.0,1176336.0,1147608.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16 19:13:53,176401,58800.333333333336,47492.255793269425,19793400,6597800.0,527208.5530110451,294.6666666666667,249.99266655910796,96469,32156.333333333332,45930.757454382714,90963,30321.0,43215.232117854,19375776,6458592.0,10544344.402314637,17293893,5764631.0,9370441.295339458,418,139.33333333333334,0.0,0,0.0,0.0,3,1.5,0.7071067811865476,176162,88081.0,3490.2790719367986,176162,88081.0,3490.2790719367986,0,1,0,2,3,1,1,1,1,0.0,44100.25,0.5,0.5,52746.42424242424,4926862.545454546,31265.766666666666,29451.666666666668,33,0,0.0,0.0,799.0,1208088.0,802.0,786.0,1212624.0,1188432.0,0.0,0.0,0.0,0.0,0.0,0.0
